Language	Concept	IPA	Cognate Class	ASJP	SCA
gut	daughter	mod̪ɛ	1	modE	MUTE
met	daughter	mʌi̯jaɖi	1	moiyadi	MEJATI
mso	daughter	noni	2	noni	NUNI
mlj	daughter	nuni	2	nuni	NYNI
dog	daughter	pedi	3	pedi	PETI
lxg	daughter	peɖɡi	3	pedgi	PETKI
mdh	daughter	peɖi	3	pedi	PETI
gki	daughter	peɖi	3	pedi	PETI
ktg	daughter	peki	4	peki	PEKI
mad	daughter	pekur	4	pekur	PEKYR
mku	daughter	pɛd̆i	3	pEdi	PETI
gok	daughter	pɛɡdi	3	pEgdi	PEKTI
gra	daughter	pɛɾɡi	4	pErgi	PERKI
mal	daughter	pila	5	pila	PILA
gja	daughter	pori	6	pori	PURI
grp	daughter	tudi	7	tudi	TYTI
ght	daughter	tudi	7	tudi	TYTI
glb	daughter	tudi	7	tudi	TYTI
ggg	daughter	tudi	7	tudi	TYTI
khu	daughter	tudi	7	tudi	TYTI
bhe	daughter	tudi	7	tudi	TYTI
prg	daughter	tudi	7	tudi	TYTI
gar	daughter	tudi	7	tudi	TYTI
gam	daughter	tudi	7	tudi	TYTI
gwa	daughter	tudi	7	tudi	TYTI
gch	daughter	tudi	7	tudi	TYTI
gdh	daughter	tudi	7	tudi	TYTI
pmd	daughter	turi	7	turi	TYRI
gkt	daughter	ʈudi	7	tudi	TYTI
gse	daughter	ʈudi	7	tudi	TYTI
gka	daughter	ʈuɖi	7	tudi	TYTI
ktg	day	bɛra	1	bEra	PERA
goa	day	deʃa(sʌm)	2	deSasom	TESASEM
gja	day	dia	2	dia	TI
met	day	d̪ia	2	dia	TI
grp	day	din	3	din	TIN
ght	day	din	3	din	TIN
gtd	day	din	3	din	TIN
gkt	day	din	3	din	TIN
pkh	day	din	3	din	TIN
gcj	day	din	3	din	TIN
ggg	day	din	3	din	TIN
khu	day	din	3	din	TIN
bhe	day	din	3	din	TIN
prg	day	din	3	din	TIN
gar	day	din	3	din	TIN
gwa	day	din	3	din	TIN
gch	day	din	3	din	TIN
gdh	day	din	3	din	TIN
gka	day	d̪in	3	din	TIN
gam	day	din,dia	3	din, dia	TIN, TI
glb	day	din(pasitu)	3	dinpasitu	TINPASITY
mad	day	dina	3	dina	TINA
bhm	day	d̪inam	3	dinam	TINAM
psh	day	dinman	3	dinman	TINMAN
pmd	day	dinman	3	dinman	TINMAN
rui	day	diwəs	2	diw3s	TIWES
gni	day	diwʌs	2	diwos	TIWES
mal	day	diya	2	diia	TI
gse	day	d̪ɪn	3	din	TIN
gut	day	dɪn(amku)	3	dinamku	TINAMKY
gok	day	mandʒʌni	4	mandZoni	MANTSENI
mlj	day	mʌi̯d̪ena	4	moidena	METENA
mud	day	mʌi̯d̪ena	4	moidena	METENA
mso	day	peɡiɽ	5	pegir	PEKIR
bhs	day	pejal	5	peyal	PEJAL
bhb	day	pejal	5	peyal	PEJAL
mbh	day	piˑali	5	piali	PILI
mdh	day	pial	5	pial	PIL
get	day	pial	5	pial	PIL
gba	day	pial	5	pial	PIL
gra	day	piaɭ	5	piaL	PIL
lxg	day	pijaːl,poɖ̆d̪ə	5	piyal, podd3	PIJAL, PUTTE
mku	day	pordt	6	pordt	PURTT
dog	day	ɸhoɾ	6	phor	BHUR
gki	day	ɸhoɾ	6	phor	BHUR
gbh	day	ɾoʒu	7	roZu	RUSY
gch	die	-----	?	-----	-----
bhs	die	dolːa	1	dola	TULA
bhb	die	dolːa	1	dola	TULA
met	die	dolit̪or,nimdola	1	dolitor, nimdola	TULITUR, NIMTULA
bhm	die	ɖolːʌ	1	dolo	TULE
mbh	die	ɖolt̪a	1	dolta	TULTA
gbh	die	hai(madʔ)	2	haimad7	HAMATH
mso	die	ham	3	ham	HAM
mud	die	ham	3	ham	HAM
mad	die	hato,ham	4	hato, ham	HATU, HAM
gba	die	hator,ham	4	hator, ham	HATUR, HAM
goa	die	hator,hatʌ	4	hator, hato	HATUR, HATE
get	die	hator,hʌm	4	hator, hom	HATUR, HEM
mal	die	hator,hʌm	4	hator, hom	HATUR, HEM
ktg	die	hatur,ham	4	hatur, ham	HATYR, HAM
mku	die	hatur,ham	4	hatur, ham	HATYR, HAM
gja	die	hatur,ham	4	hatur, ham	HATYR, HAM
gok	die	hatur,ham	4	hatur, ham	HATYR, HAM
mdh	die	hatur,han	4	hatur, han	HATYR, HAN
pkh	die	horsasimatol	5	horsasimatol	HURSASIMATUL
gcj	die	horsasitoɭ,sasim	5	horsasitoL, sasim	HURSASITUL, SASIM
mlj	die	hʌm	3	hom	HEM
prg	die	olsatur,sase	6	olsatur, sase	ULSATYR, SASE
ggg	die	orsatur,sam	6	orsatur, sam	URSATYR, SAM
khu	die	orsatur,sasəm	6	orsatur, sas3m	URSATYR, SASEM
bhe	die	orsatur,sasimsam	6	orsatur, sasimsam	URSATYR, SASIMSAM
gni	die	saːt̪or,sam	6	sator, sam	SATUR, SAM
gut	die	saːt̪ʌ	6	sato	SATE
gkt	die	sasimatol,sasena	7	sasimatol, sasena	SASIMATUL, SASENA
gtd	die	sasimatol,sasihen	7	sasimatol, sasihen	SASIMATUL, SASIHEN
gam	die	sasimatur,sasihən	7	sasimatur, sasih3n	SASIMATYR, SASIHEN
gar	die	sasimatursatur,sasihən	7	sasimatursatur, sasih3n	SASIMATYRSATYR, SASIHEN
pmd	die	sasital,sasun	7	sasital, sasun	SASITAL, SASYN
gwa	die	sasitul,sasən	7	sasitul, sas3n	SASITYL, SASEN
lxg	die	sat̪or,saim	6	sator, saim	SATUR, SAM
rui	die	sat̪or,sam	6	sator, sam	SATUR, SAM
dog	die	satoɾ,sam	6	sator, sam	SATUR, SAM
gra	die	sat̪oɾ,sam	6	sator, sam	SATUR, SAM
gki	die	sat̪oɾ,sam	6	sator, sam	SATUR, SAM
gse	die	sat̪ur,saɾmar	6	satur, sarmar	SATYR, SARMAR
gdh	die	satur,sasɔm	6	satur, sasom	SATYR, SASUM
gka	die	satur,saʃən	6	satur, saS3n	SATYR, SASEN
psh	die	worsasimatorm	7	worsasimatorm	WURSASIMATURM
glb	die	worsatul,sam	6	worsatul, sam	WURSATYL, SAM
grp	die	worsatʌr,saivm	6	worsator, saivm	WURSATER, SABM
ght	die	worsutur,sam	6	worsutur, sam	WURSYTYR, SAM
ggg	different	aləɡaleɡ	1	al3galeg	ALEKALEK
gwa	different	aləɡaləɡ	1	al3gal3g	ALEKALEK
gka	different	aləɡələ	1	al3g3l3	ALEKELE
khu	different	aləɡələɡ	1	al3g3l3g	ALEKELEK
bhe	different	aləɡələɡ	1	al3g3l3g	ALEKELEK
prg	different	aləɡələɡ	1	al3g3l3g	ALEKELEK
gar	different	aləɡələɡ	1	al3g3l3g	ALEKELEK
gam	different	aləɡələɡ	1	al3g3l3g	ALEKELEK
gdh	different	aləɡələɡ	1	al3g3l3g	ALEKELEK
rui	different	alək,βeɡro	1	al3k, begro	ALEK, BEKRU
psh	different	aluɡaluɡ(bʌnɡʌt)	1	alugalugbongot	ALYKALYKPENKET
gcj	different	aluɡaluɡ(ruŋta)	1	alugalugruNta	ALYKALYKRYNTA
dog	different	alʌɡalʌɡ	1	alogalog	ALEKALEK
mdh	different	alʌɡalʌɡ	1	alogalog	ALEKALEK
mku	different	alʌɡalʌɡ	1	alogalog	ALEKALEK
pkh	different	alʌɡalʌɡ	1	alogalog	ALEKALEK
gki	different	alʌɡalʌɡ	1	alogalog	ALEKALEK
gja	different	barabʌrhile	2	baraborhile	PARAPERHILE
bhm	different	biːne	3	bine	PINE
mud	different	bɾobʌɾ	2	brobor	PRUPER
gkt	different	bʌrəbʌrhile,vɛrivɛri	2	bor3borhile, vErivEri	PEREPERHILE, BERIBERI
get	different	duɡaradusara	4	dugaradusara	TYKARATYSARA
gni	different	dusərʌdusərʌ	4	dus3rodus3ro	TYSERETYSERE
gut	different	dusorʌ	4	dusoro	TYSURE
pmd	different	dusro(run)	4	dusrorun	TYSRURYN
lxg	different	d̪usrʌ	4	dusro	TYSRE
mbh	different	eɣeeɣe	5	exeexe	EGEGE
gbh	different	eɾe	5	ere	ERE
met	different	kʌmdʒat̪ʰa	6	komdZath~a	KEMTSATA
grp	different	lʌklʌk	7	loklok	LEKLEK
gba	different	pədʌk	8	p3dok	PETEK
gok	different	putiputi	9	putiputi	PYTIPYTI
ght	different	pʌrʌk	8	porok	PEREK
glb	different	pʌrʌk	8	porok	PEREK
mal	different	ɸʌrʋk	8	porwk	BERWK
gse	different	ɸʌɾəkʰ	8	por3kh~	BEREK
ktg	different	sahile	10	sahile	SAHILE
gra	different	saɾkɛmʌm	11	sarkEmom	SARKEMEM
gch	different	tusurotusuro	12	tusurotusuro	TYSYRUTYSYRU
mad	different	usare	12	usare	YSARE
gtd	different	usare	12	usare	YSARE
bhs	different	veɾe	13	vere	BERE
goa	different	ʋeɾeʋeɾe	13	werewere	WEREWERE
mso	different	ʌlʌɡ	14	olog	ELEK
mlj	different	ʌlʌɡ	14	olog	ELEK
bhb	different	ʌlʌk	14	olok	ELEK
rui	dog	nai	1	nai	NA
mdh	dog	nai	1	nai	NA
mku	dog	nai	1	nai	NA
khu	dog	nai	1	nai	NA
bhe	dog	nai	1	nai	NA
gka	dog	nai	1	nai	NA
gar	dog	nai	1	nai	NA
gam	dog	nai	1	nai	NA
gwa	dog	nai	1	nai	NA
gch	dog	nai	1	nai	NA
gdh	dog	nai	1	nai	NA
grp	dog	nai̯	1	nai	NA
ght	dog	nai̯	1	nai	NA
glb	dog	nai̯	1	nai	NA
ktg	dog	nai̯	1	nai	NA
dog	dog	nai̯	1	nai	NA
get	dog	nai̯	1	nai	NA
gtd	dog	nai̯	1	nai	NA
gkt	dog	nai̯	1	nai	NA
gok	dog	nai̯	1	nai	NA
psh	dog	nai̯	1	nai	NA
pmd	dog	nai̯	1	nai	NA
pkh	dog	nai̯	1	nai	NA
gcj	dog	nai̯	1	nai	NA
ggg	dog	nai̯	1	nai	NA
mlj	dog	nai̯	1	nai	NA
gbh	dog	naiˑu	1	naiu	NA
mbh	dog	naiu	1	naiu	NA
mal	dog	nai̯yu	1	naiiu	NA
mad	dog	nai̯yu	1	naiiu	NA
met	dog	nei̯ju	1	neiyu	NEJY
gba	dog	nei̯yu	1	neiiu	NE
gra	dog	nejuʔ	1	neyu7	NEJYH
prg	dog	nəi	1	n3i	NE
gja	dog	nəi̯	1	n3i	NE
goa	dog	nəi̯ju	1	n3iyu	NEJY
gut	dog	nɛiːu	1	nEiu	NE
lxg	dog	nɛjːu	1	nEyu	NEJY
gni	dog	nʌi	1	noi	NE
gse	dog	nʌi	1	noi	NE
gki	dog	nʌi	1	noi	NE
mso	dog	nʌi̯	1	noi	NE
mud	dog	nʌi̯	1	noi	NE
bhm	dog	nʌj	1	noy	NEJ
bhs	dog	nʌj	1	noy	NEJ
bhb	dog	nʌj	1	noy	NEJ
ktg	door	darwana	1	darwana	TARWANA
gki	door	d̪eɾot̪a	1	derota	TERUTA
gse	door	d̪eɾwadʒa	1	derwadZa	TERWATSA
gja	door	dərwədʒa	1	d3rw3dZa	TERWETSA
ght	door	dɛrwadʒa	1	dErwadZa	TERWATSA
gka	door	dhərwadʒa	1	dh3rwadZa	THERWATSA
mal	door	dorwadʒa,tʌlpi	1	dorwadZa, tolpi	TURWATSA, TELPI
gcj	door	dowvar	1	dowvar	TUWBAR
pmd	door	duwar	1	duwar	TYWAR
grp	door	dʌrawadʒa	1	dorawadZa	TERAWATSA
lxg	door	d̪ʌrotʌ	1	doroto	TERUTE
mku	door	dʌrwadʒa	1	dorwadZa	TERWATSA
mud	door	d̪ʌɾwadʒa	1	dorwadZa	TERWATSA
gra	door	ɖaɾot̪a	1	darota	TARUTA
gut	door	kaːvʌd	2	kavod	KABET
mso	door	kapaʈ	2	kapat	KAPAT
mdh	door	kawara	2	kawara	KAWARA
dog	door	kawɖ	2	kawd	KAWT
rui	door	kawəd	2	kaw3d	KAWET
gar	door	kəwar	2	k3war	KEWAR
gam	door	kəwar	2	k3war	KEWAR
khu	door	kiwar	2	kiwar	KIWAR
bhe	door	kiwar	2	kiwar	KIWAR
prg	door	kiwar	2	kiwar	KIWAR
gwa	door	kiwar	2	kiwar	KIWAR
gch	door	kiwar	2	kiwar	KIWAR
gdh	door	kiwar	2	kiwar	KIWAR
gtd	door	kiware	2	kiware	KIWARE
ggg	door	kiwark	2	kiwark	KIWARK
gkt	door	klwara	2	klwara	KLWARA
psh	door	komar	2	komar	KUMAR
pkh	door	komar	2	komar	KUMAR
glb	door	kowar	2	kowar	KUWAR
bhm	door	maɾ	3	mar	MAR
bhs	door	maɾ	3	mar	MAR
bhb	door	maɾ	3	mar	MAR
mlj	door	maɾi	3	mari	MARI
gok	door	mʌdi	3	modi	METI
gbh	door	t̪alapu	4	talapu	TALAPY
gba	door	talpu	4	talpu	TALPY
gni	door	t̪alpu,d̪ɛrota	4	talpu, dErota	TALPY, TERUTA
mbh	door	t̪alupu	4	talupu	TALYPY
mad	door	t̪elpi	4	telpi	TELPI
met	door	t̪elpi	4	telpi	TELPI
goa	door	tʌlpu	4	tolpu	TELPY
get	door	tʌlpun	4	tolpun	TELPYN
gch	drink	-----	?	-----	-----
gcj	drink	(hor)und̪ʒetol	1	horundZetol	HURYNTSETUL
pkh	drink	(hor)undʒimatoɭ	1	horundZimatoL	HURYNTSIMATUL
gni	drink	(jer)uʈor,un	1	yerutor, un	JERYTUR, YN
gtd	drink	(ol)undʒitol	1	olundZitol	ULYNTSITUL
prg	drink	(ol)undʒitol,un	1	olundZitol, un	ULYNTSITUL, YN
ggg	drink	(or)ondʒitur,un	1	orondZitur, un	URUNTSITYR, YN
khu	drink	(or)uttur,un	2	oruttur, un	URYTYR, YN
bhe	drink	(or)utur,unundʒena	2	orutur, unundZena	URYTYR, YNYNTSENA
lxg	drink	(or)uʈːor,unːu	2	orutor, unu	URYTUR, YNY
gki	drink	jeruntor,un	2	yeruntor, un	JERYNTUR, YN
met	drink	nineut̪o,untu	2	nineuto, untu	NINETU, YNTY
gdh	drink	olutul,undʒena	2	olutul, undZena	ULYTYL, YNTSENA
mbh	drink	uˑmadi	3	umadi	YMATI
gbh	drink	unˑudu	2	unudu	YNYTY
gka	drink	undalatu,undʒieʌa	3	undalatu, undZieoa	YNTALATY, YNTSI
gja	drink	undʒeɡemətor,un	4	undZegem3tor, un	YNTSEKEMETUR, YN
gkt	drink	undʒetol	4	undZetol	YNTSETUL
pmd	drink	undʒetor	4	undZetor	YNTSETUR
psh	drink	undʒimator	1	undZimator	YNTSIMATUR
gam	drink	undʒimatur,undzieta	1	undZimatur, undzieta	YNTSIMATYR, YNTSITA
gar	drink	undʒimatur,undʒiena	1	undZimatur, undZiena	YNTSIMATYR, YNTSINA
gwa	drink	undʒitul,undʒena	1	undZitul, undZena	YNTSITYL, YNTSENA
gut	drink	unβʌt	2	unbot	YNBET
mud	drink	uruɾ,un	2	urur, un	YRYR, YN
gok	drink	urʌtur	2	urotur	YRETYR
mso	drink	uɽor,un	2	uror, un	YRUR, YN
rui	drink	uton	2	uton	YTUN
ktg	drink	utor	2	utor	YTUR
get	drink	utor,un	2	utor, un	YTUR, YN
mal	drink	utor,un	2	utor, un	YTUR, YN
gba	drink	utor,un	2	utor, un	YTUR, YN
gra	drink	utoɾ,jɛrun	2	utor, yErun	YTUR, JERYN
dog	drink	utoɾ,un	2	utor, un	YTUR, YN
mlj	drink	uttuɾ,un	2	uttur, un	YTYR, YN
mdh	drink	utur,un	2	utur, un	YTYR, YN
mad	drink	ut̪ur,ur̪u	2	utur, uru	YTYR, YRY
gse	drink	ut̪uɾ,und̪ana	2	utur, undana	YTYR, YNTANA
goa	drink	ut̪ʌn,utinʌ	2	uton, utino	YTEN, YTINE
bhs	drink	voːŋdut̪ːoːn,ut̪oːn	2	voNduton, uton	BUNTYTUN, YTUN
bhm	drink	voːɾuʈoːr,un	2	vorutor, un	BURYTUR, YN
grp	drink	worundʒiyetor	1	worundZiietor	WURYNTSITUR
mku	drink	worutor,un	2	worutor, un	WURYTUR, YN
ght	drink	worutur	2	worutur	WURYTYR
glb	drink	worwutur	2	worwutur	WURWYTYR
bhb	drink	woɾuʈoɾ,unu	2	worutor, unu	WURYTUR, YNY
glb	dry	(watʃi)watʌ	1	watSiwato	WATSIWATE
gbh	dry	u̯at̪ˑt̪a(d̪u)	1	uattadu	YTTATY
mbh	dry	u̯at̪ˑʌ	1	uato	YTE
bhs	dry	vast̪a	1	vasta	BASTA
bhm	dry	vet̪ːʌ	1	veto	BETE
bhb	dry	vɽt̪a	1	vrta	BRTA
gcj	dry	wabʌl	1	wabol	WAPEL
gra	dry	waɾt̪a	1	warta	WARTA
met	dry	wat̪ːʌ	1	wato	WATE
mad	dry	wat̪ˑʌ	1	wato	WATE
gtd	dry	wat̪a	1	wata	WATA
gki	dry	wat̪a	1	wata	WATA
ght	dry	watal	1	watal	WATAL
ktg	dry	watita	1	watita	WATITA
mdh	dry	watita	1	watita	WATITA
get	dry	watita	1	watita	WATITA
gba	dry	watita	1	watita	WATITA
mlj	dry	wat̪le	1	watle	WATLE
gkt	dry	watʃɛt	1	watSEt	WATSET
pkh	dry	watʃit	1	watSit	WATSIT
gja	dry	watta	1	watta	WATA
mso	dry	wat̪t̪it̪a	1	wattita	WATITA
mud	dry	wat̪t̪it̪a	1	wattita	WATITA
grp	dry	watu	1	watu	WATY
gka	dry	wat̪u	1	watu	WATY
gse	dry	wat̪ʌ	1	wato	WATE
rui	dry	wət̪a	1	w3ta	WETA
prg	dry	wətəl	1	w3t3l	WETEL
psh	dry	wətʃtər	1	w3tSt3r	WETSTER
gwa	dry	wətta	1	w3tta	WETA
bhe	dry	wəttal	1	w3ttal	WETAL
gar	dry	wəttal	1	w3ttal	WETAL
gam	dry	wəttal	1	w3ttal	WETAL
gdh	dry	wəttə	1	w3tt3	WETE
ggg	dry	wəttəl	1	w3tt3l	WETEL
khu	dry	wəttəl	1	w3tt3l	WETEL
gch	dry	wəttəl	1	w3tt3l	WETEL
mku	dry	wɛtita	1	wEtita	WETITA
lxg	dry	wʌt̪ː	1	wot	WET
mal	dry	wʌta	1	wota	WETA
dog	dry	wʌt̪a	1	wota	WETA
pmd	dry	wʌtʃit	1	wotSit	WETSIT
gok	dry	wʌtʌle	1	wotole	WETELE
gni	dry	βaːt̪ːa	1	bata	BATA
goa	dry	βaɾt̪ut̪a	1	bartuta	BARTYTA
gut	dry	βat̪ːa	1	bata	BATA
bhe	dust	budu̯əra	1	budu3ra	PYTYRA
gtd	dust	dhula	2	dhula	THYLA
gdh	dust	dʰula	2	dh~ula	TYLA
gbh	dust	d̪ʰumˑu	3	dh~umu	TYMY
mku	dust	dʰundo	4	dh~undo	TYNTU
mad	dust	dʰura	2	dh~ura	TYRA
met	dust	dʰura	2	dh~ura	TYRA
gch	dust	dʰurla	2	dh~urla	TYRLA
pmd	dust	dhuro	2	dhuro	THYRU
lxg	dust	d̪ubːʌ	1	dubo	TYPE
gni	dust	d̪uba	1	duba	TYPA
gra	dust	d̪ubaʔ	1	duba7	TYPAH
prg	dust	dudər	1	dud3r	TYTER
mdh	dust	dud̆o	2	dudo	TYTU
mud	dust	d̪uɖuko	2	duduko	TYTYKU
ktg	dust	dula	3	dula	TYLA
get	dust	dum	4	dum	TYM
gba	dust	d̪um	4	dum	TYM
mbh	dust	d̪umˑu	4	dumu	TYMY
mal	dust	dura	3	dura	TYRA
psh	dust	duru	3	duru	TYRY
pkh	dust	duru	3	duru	TYRY
gcj	dust	duru	3	duru	TYRY
mso	dust	d̪uɽko	3	durko	TYRKU
gut	dust	duɾdʌ	3	durdo	TYRTE
gja	dust	ɖʰur	3	dh~ur	TYR
mlj	dust	ɖhuɽka	3	dhurka	THYRKA
bhm	dust	ɖuɳɖuːl	5	dundul	TYNTYL
bhs	dust	ɖuɳɖuːl	5	dundul	TYNTYL
bhb	dust	ɖuɳɖul	5	dundul	TYNTYL
ght	dust	ɡaɡara	6	gagara	KAKARA
rui	dust	ɡaɡəra	6	gag3ra	KAKERA
gar	dust	ɡaɡəra	6	gag3ra	KAKERA
gwa	dust	ɡaɡəra	6	gag3ra	KAKERA
glb	dust	ɡaɡɛra	6	gagEra	KAKERA
gam	dust	ɡaɡra	6	gagra	KAKRA
gse	dust	ɡaɡɾa	6	gagra	KAKRA
grp	dust	ɡaɡʌra	6	gagora	KAKERA
dog	dust	ɡaɡʌɾa	6	gagora	KAKERA
ggg	dust	ɡarɛd	6	garEd	KARET
khu	dust	ɡʰərdʰə	6	gh~3rdh~3	KERTE
gkt	dust	ɡunda	6	gunda	KYNTA
gka	dust	kətʃɛra	6	k3tSEra	KETSERA
gok	dust	kudur	6	kudur	KYTYR
goa	dust	mˑuɖʌm	7	mudom	MYTEM
gki	dust	toɖi	8	todi	TUTI
mso	ear	kavin̪	1	kavin	KABIN
gtd	ear	kavke	1	kavke	KABKE
mud	ear	kavn	1	kavn	KABN
mlj	ear	kawi	1	kawi	KAWI
goa	ear	keɭʋu	1	keLwu	KELWY
gja	ear	kev	1	kev	KEB
mad	ear	kev	1	kev	KEB
met	ear	kev	1	kev	KEB
bhm	ear	kev	1	kev	KEB
bhs	ear	kev	1	kev	KEB
bhb	ear	kev	1	kev	KEB
lxg	ear	kevːɪ	1	kevi	KEBI
ktg	ear	kevi	1	kevi	KEBI
get	ear	kevo	1	kevo	KEBU
mbh	ear	kevo	1	kevo	KEBU
gbh	ear	kevu	1	kevu	KEBY
rui	ear	keβi	1	kebi	KEBI
gki	ear	keβi	1	kebi	KEBI
gam	ear	kəβi	1	k3bi	KEBI
gut	ear	kɛːuʔ	1	kEu7	KEH
gra	ear	kɛɭku	1	kELku	KELKY
gba	ear	kɛv	1	kEv	KEB
mku	ear	kɛvi	1	kEvi	KEBI
mal	ear	kɛvu	1	kEvu	KEBY
gni	ear	kɛʷu	1	kEw~u	KE
gkt	ear	kʰok	1	kh~ok	KUK
dog	ear	kɪok	1	kiok	KIK
gch	ear	kov	1	kov	KUB
glb	ear	kovi	1	kovi	KUBI
mdh	ear	kovi	1	kovi	KUBI
gok	ear	kovi	1	kovi	KUBI
psh	ear	kovi	1	kovi	KUBI
ggg	ear	kovi	1	kovi	KUBI
prg	ear	kovi	1	kovi	KUBI
ght	ear	kowi	1	kowi	KUWI
pmd	ear	kowi	1	kowi	KUWI
pkh	ear	kowi	1	kowi	KUWI
gcj	ear	kowi	1	kowi	KUWI
khu	ear	koβi	1	kobi	KUBI
bhe	ear	koβi	1	kobi	KUBI
gka	ear	koβi	1	kobi	KUBI
gar	ear	koβi	1	kobi	KUBI
gwa	ear	koβi	1	kobi	KUBI
gdh	ear	koβi	1	kobi	KUBI
grp	ear	kʌwi	1	kowi	KEWI
gse	ear	kʌβi	1	kobi	KEBI
gch	eat	-----	?	-----	-----
rui	eat	dʒɛkit̪on	1	dZEkiton	TSEKITUN
pmd	eat	hortindʒetoɭ	2	hortindZetoL	HURTINTSETUL
gcj	eat	hortindʒetoɭ	2	hortindZetoL	HURTINTSETUL
pkh	eat	hortinɡetoɭ	2	hortingetoL	HURTINKETUL
gki	eat	kit̪or,t̪i	3	kitor, ti	KITUR, TI
dog	eat	kitoɾ,kim	3	kitor, kim	KITUR, KIM
gtd	eat	oletindʒitule	2	oletindZitule	ULETINTSITYLE
prg	eat	ortindʒəktun,tin	2	ortindZ3ktun, tin	URTINTSEKTYN, TIN
bhe	eat	ortittur,tin	4	ortittur, tin	URTITYR, TIN
ggg	eat	ortitur,tin	4	ortitur, tin	URTITYR, TIN
khu	eat	ortitur,tin	4	ortitur, tin	URTITYR, TIN
mbh	eat	t̪inˑu	5	tinu	TINY
gbh	eat	t̪inˑudu	5	tinudu	TINYTY
mal	eat	tindanor,tin	5	tindanor, tin	TINTANUR, TIN
gkt	eat	tindʒetul	5	tindZetul	TINTSETYL
gok	eat	tindʒetul	5	tindZetul	TINTSETYL
gwa	eat	tindʒitul,tindʒena	5	tindZitul, tindZena	TINTSITYL, TINTSENA
psh	eat	tinɡetoɭ	5	tingetoL	TINKETUL
gra	eat	tintoɾ,t̪in	5	tintor, tin	TINTUR, TIN
met	eat	titin,tintu	5	titin, tintu	TITIN, TINTY
bhs	eat	t̪it̪oːn,t̪in	5	titon, tin	TITUN, TIN
bhm	eat	t̪it̪oːr,t̪in	5	titor, tin	TITUR, TIN
get	eat	titor,tin	5	titor, tin	TITUR, TIN
lxg	eat	titor,t̪in	5	titor, tin	TITUR, TIN
gni	eat	t̪it̪or,t̪in	5	titor, tin	TITUR, TIN
gba	eat	titor,tinu	5	titor, tinu	TITUR, TINY
mso	eat	t̪it̪oɾ,t̪in	5	titor, tin	TITUR, TIN
gar	eat	tittur,tindʒena	5	tittur, tindZena	TITYR, TINTSENA
mdh	eat	titur,tin	5	titur, tin	TITYR, TIN
mku	eat	titur,tin	5	titur, tin	TITYR, TIN
gja	eat	titur,tin	5	titur, tin	TITYR, TIN
mad	eat	titur,tin	5	titur, tin	TITYR, TIN
goa	eat	titur,tin	5	titur, tin	TITYR, TIN
gdh	eat	titur,tint	5	titur, tint	TITYR, TINT
bhb	eat	t̪it̪ur,t̪inu	5	titur, tinu	TITYR, TINY
gam	eat	titur,tɪndʒena	5	titur, tindZena	TITYR, TINTSENA
gse	eat	tituɾ,t̪in	5	titur, tin	TITYR, TIN
mlj	eat	t̪it̪uɾ,t̪in	5	titur, tin	TITYR, TIN
mud	eat	t̪it̪uɾ,t̪it̪t̪in	5	titur, tittin	TITYR, TITIN
gka	eat	tituʃ,tindʒiona	5	tituS, tindZiona	TITYS, TINTSINA
gut	eat	t̪ɪnβʌl	5	tinbol	TINBEL
glb	eat	wortinɡenator	4	wortingenator	WURTINKENATUR
ktg	eat	wortitor	4	wortitor	WURTITUR
grp	eat	wort̪itor	4	wortitor	WURTITUR
ght	eat	wortitur	4	wortitur	WURTITYR
bhm	egg	ɡʌɽbʌm	1	gorbom	KERPEM
bhs	egg	ɡʌɽbʌm	1	gorbom	KERPEM
bhb	egg	ɡʌɽbʌm	1	gorbom	KERPEM
mad	egg	meːndʒu	2	mendZu	MENTSY
gka	egg	meːs	3	mes	MES
met	egg	mẽdʒu	2	medZu	METSY
gja	egg	mendʒ	2	mendZ	MENTS
gwa	egg	mendʒ	2	mendZ	MENTS
gdh	egg	mendʒ	2	mendZ	MENTS
mso	egg	mendʒ	2	mendZ	MENTS
gba	egg	mendʒu,mes	2	mendZu, mes	MENTSY, MES
rui	egg	mes	3	mes	MES
ght	egg	mes	3	mes	MES
mdh	egg	mes	3	mes	MES
mku	egg	mes	3	mes	MES
get	egg	mes	3	mes	MES
gtd	egg	mes	3	mes	MES
gok	egg	mes	3	mes	MES
pkh	egg	mes	3	mes	MES
ggg	egg	mes	3	mes	MES
khu	egg	mes	3	mes	MES
prg	egg	mes	3	mes	MES
gki	egg	mes	3	mes	MES
gar	egg	mes	3	mes	MES
gam	egg	mes	3	mes	MES
gch	egg	mes	3	mes	MES
grp	egg	mẽs	3	mes	MES
dog	egg	mẽs	3	mes	MES
psh	egg	mẽs	3	mes	MES
pmd	egg	mẽs	3	mes	MES
gcj	egg	mesk	3	mesk	MESK
gkt	egg	meskʰ	3	meskh~	MESK
gbh	egg	mesku	3	mesku	MESKY
mal	egg	mesku	3	mesku	MESKY
mbh	egg	mesku	3	mesku	MESKY
goa	egg	mẽsku	3	mesku	MESKY
bhe	egg	meʃ	3	meS	MES
gse	egg	mɛːs	3	mEs	MES
gut	egg	mɛːsk	3	mEsk	MESK
mlj	egg	mɛ̃dʒ	2	mEdZ	METS
ktg	egg	mɛndʒ	2	mEndZ	MENTS
gni	egg	mɛndʒ	2	mEndZ	MENTS
mud	egg	mɛndʒ	2	mEndZ	MENTS
