Language	Concept	IPA	ASJP	SCA
ggg	eggplant	baʈaŋ	bataN	PATAN
khu	eggplant	baʈa	bata	PATA
bhe	eggplant	baʈai	batai	PATA
prg	eggplant	bʰata	bh~ata	PATA
gka	eggplant	sapaŋ	sapaN	SAPAN
gse	eggplant	sapaʔ	sapa7	SAPAH
gra	eggplant	sapaŋ	sapaN	SAPAN
gki	eggplant	sapaŋ	sapaN	SAPAN
gar	eggplant	sapaŋ,wəŋɡey	sapaN, w3Ngei	SAPAN, WENKE
gam	eggplant	sapaŋ	sapaN	SAPAN
gwa	eggplant	sʌn(k)	sonk	SENK
gch	eggplant	sapa	sapa	SAPA
gdh	eggplant	bʰata	bh~ata	PATA
goa	eggplant	hapa(kʌja)	hapakoya	HAPAKEJA
met	eggplant	apːa	apa	APA
bhm	eggplant	apa	apa	APA
bhs	eggplant	apːa	apa	APA
bhb	eggplant	apːa	apa	APA
mso	eggplant	appaŋ	appaN	APAN
mlj	eggplant	happa	happa	HAPA
mud	eggplant	appa	appa	APA
rui	bad	kʰərap	kh~3rap	KERAP
grp	bad	biɡliemat	bigliemat	PIKLIMAT
ght	bad	kʌrʌb	korob	KEREP
glb	bad	beshile	beshile	PESHILE
ktg	bad	kʌrab	korab	KERAP
dog	bad	kʰʌɾab	kh~orab	KERAP
mdh	bad	beshile	beshile	PESHILE
mku	bad	kʌrʌb	korob	KEREP
gni	bad	vai̯tna	vaitna	BATNA
lxg	bad	waːɪ̯tnʌ	waitno	WATNE
get	bad	asahile,beshile	asahile, beshile	ASAHILE, PESHILE
gut	bad	tʃʰokuʈsɛlːɛ,kaɾabaːt̪ʌ	tSh~okutsElE, karabato	TSUKYTSELE, KARAPATE
gja	bad	kʰarab,beshile	kh~arab, beshile	KARAP, PESHILE
gbh	bad	kaɾab	karab	KARAP
mal	bad	kʌrʌb	korob	KEREP
mbh	bad	melo	melo	MELU
mad	bad	kʰʌrab	kh~orab	KERAP
gtd	bad	asalhale	asalhale	ASALHALE
gba	bad	kʰarab,beshile	kh~arab, beshile	KARAP, PESHILE
gkt	bad	tʃəkoi̯le	tS3koile	TSEKULE
gok	bad	ard̆o	ardo	ARTU
psh	bad	kʌrab	korab	KERAP
pmd	bad	atʃahila	atSahila	ATSAHILA
pkh	bad	kʌrab	korab	KERAP
gcj	bad	kʌrab	korab	KERAP
ggg	bad	karap	karap	KARAP
khu	bad	atʃailət	atSail3t	ATSALET
bhe	bad	atʃailey	atSailei	ATSALE
prg	bad	karab	karab	KARAP
gka	bad	kharab	kharab	KHARAP
gse	bad	bekaɾ	bekar	PEKAR
gra	bad	tʃokoɾsile	tSokorsile	TSUKURSILE
gki	bad	kʰʌɾ	kh~or	KER
gar	bad	karap	karap	KARAP
gam	bad	wait,karap	wait, karap	WAT, KARAP
gwa	bad	tʃəkohəley	tS3koh3lei	TSEKUHELE
gch	bad	buʈe	bute	PYTE
gdh	bad	buro	buro	PYRU
goa	bad	kⁿʌɾab,bɛsʌhille	kn~orab, bEsohille	KERAP, PESEHILE
met	bad	kʰʌɾab	kh~orab	KERAP
bhm	bad	opːo	opo	UPU
bhs	bad	biːɖo	bido	PITU
bhb	bad	opːo	opo	UPU
mso	bad	ʌɾo	oro	ERU
mlj	bad	ʌtʃahile	otSahile	ETSAHILE
mud	bad	hʌɾo	horo	HERU
rui	cloud	habar	habar	HAPAR
grp	cloud	dʰʌɡ	dh~og	TEK
ght	cloud	dʰʌɡ	dh~og	TEK
glb	cloud	bʌdli	bodli	PETLI
ktg	cloud	badɛl	badEl	PATEL
dog	cloud	habar	habar	HAPAR
mdh	cloud	dʰʌɡ	dh~og	TEK
mku	cloud	abar	abar	APAR
gni	cloud	abar	abar	APAR
lxg	cloud	mʌbːu	mobu	MEPY
get	cloud	mʌbu	mobu	MEPY
gut	cloud	tʌpʌʔ	topo7	TEPEH
gja	cloud	abʰar,mʌbu	abh~ar, mobu	APAR, MEPY
gbh	cloud	mabɖu	mabdu	MAPTY
mal	cloud	moi̯yuli	moiiuli	MULI
mbh	cloud	mabʰi	mabh~i	MAPI
mad	cloud	moul	moul	MUL
gtd	cloud	badɛl	badEl	PATEL
gba	cloud	mʌbu	mobu	MEPY
gkt	cloud	-----	-----	-----
gok	cloud	tetu	tetu	TETY
psh	cloud	badʌl	badol	PATEL
pmd	cloud	badʌl	badol	PATEL
pkh	cloud	badʌl	badol	PATEL
