Language	Concept	IPA	ASJP	SCA
get	noon	nɛknita	nEknita	NEKNITA
gut	noon	d̪opaɖi	dopadi	TUPATI
gja	noon	dupar	dupar	TYPAR
gbh	noon	piˑt̪el	pitel	PITEL
mal	noon	piɛli	piEli	PILI
mbh	noon	pet̪epiˑali	petepiali	PETEPILI
mad	noon	pʰord̪u	ph~ordu	PURTY
gtd	noon	dupə(heda)	dup3heda	TYPEHETA
gba	noon	nɛknita,pial	nEknita, pial	NEKNITA, PIL
gkt	noon	dʰupali	dh~upali	TYPALI
gok	noon	dupar	dupar	TYPAR
psh	noon	dʰupari	dh~upari	TYPARI
pmd	noon	dupari	dupari	TYPARI
pkh	noon	dupare	dupare	TYPARE
gcj	noon	dupari	dupari	TYPARI
ggg	noon	dopaɖi	dopadi	TUPATI
khu	noon	məriə	m3ri3	MERI
bhe	noon	dupari	dupari	TYPARI
prg	noon	dopaɖi	dopadi	TUPATI
gka	noon	dupar	dupar	TYPAR
gse	noon	dupaɾi	dupari	TYPARI
gra	noon	d̪upaɾi	dupari	TYPARI
gki	noon	d̪upar	dupar	TYPAR
gar	noon	dupaɖi	dupadi	TYPATI
gam	noon	dipaɖi	dipadi	TIPATI
gwa	noon	dupari	dupari	TYPARI
gch	noon	dupaɖi	dupadi	TYPATI
gdh	noon	dupaɖi	dupadi	TYPATI
goa	noon	pijar	piyar	PIJAR
met	noon	piɡa	piga	PIKA
bhm	noon	ʌd̪kn	odkn	ETKN
bhs	noon	mʌd̪naˑm	modnam	METNAM
bhb	noon	ʌd̪kʌd̪a	odkoda	ETKETA
mso	noon	neknit̪ita	neknitita	NEKNITITA
mlj	noon	baɾʌbaze	barobaze	PAREPASE
mud	noon	neknit̪ita	neknitita	NEKNITITA
rui	today	nend	nend	NENT
grp	today	nɛnd	nEnd	NENT
ght	today	nɛnd	nEnd	NENT
glb	today	nɛnd	nEnd	NENT
ktg	today	nɛnd	nEnd	NENT
dog	today	nẽnɖ	nend	NENT
mdh	today	nend	nend	NENT
mku	today	nend	nend	NENT
gni	today	nɛnɖu	nEndu	NENTY
lxg	today	nɛnɖu	nEndu	NENTY
get	today	nɛndu	nEndu	NENTY
gut	today	nɛːnd	nEnd	NENT
gja	today	nend	nend	NENT
gbh	today	ind̪ike	indike	INTIKE
mal	today	nɛndu	nEndu	NENTY
mbh	today	nedu	nedu	NETY
mad	today	nendu	nendu	NENTY
gtd	today	nenɖe	nende	NENTE
gba	today	neɳɖu	nendu	NENTY
gkt	today	nenɖ	nend	NENT
gok	today	nɛnd	nEnd	NENT
psh	today	nɛre	nEre	NERE
pmd	today	nɛr	nEr	NER
pkh	today	nɛre	nEre	NERE
gcj	today	nend	nend	NENT
ggg	today	ne(n)d	nend	NENT
khu	today	nɛd	nEd	NET
bhe	today	nɛd	nEd	NET
prg	today	nɛd	nEd	NET
gka	today	nɛɳɖ	nEnd	NENT
gse	today	nɪn(hʌnka)	ninhonka	NINHENKA
gra	today	nɛnd̪u	nEndu	NENTY
gki	today	nẽd	ned	NET
gar	today	nɛnd	nEnd	NENT
gam	today	nɛnd	nEnd	NENT
gwa	today	nend	nend	NENT
gch	today	nend	nend	NENT
gdh	today	nɛnd	nEnd	NENT
goa	today	ned̪	ned	NET
met	today	netʌ(dia)	netodia	NETETI
bhm	today	neːɳɖ	nend	NENT
bhs	today	neːɳɖ	nend	NENT
bhb	today	neːɳɖ	nend	NENT
mso	today	nenɖ	nend	NENT
mlj	today	nẽɖ	ned	NET
mud	today	nenɖ	nend	NENT
rui	light	halko	halko	HALKU
grp	light	hʌlko	holko	HELKU
ght	light	hʌlko	holko	HELKU
glb	light	hʌlko	holko	HELKU
ktg	light	puho	puho	PYHU
dog	light	halko	halko	HALKU
mdh	light	hʌlko	holko	HELKU
mku	light	hʌlko	holko	HELKU
gni	light	ʌlkal	olkal	ELKAL
lxg	light	ʌlkal	olkal	ELKAL
get	light	hʌlka	holka	HELKA
gut	light	hʌlkoʔ	holko7	HELKUH
gja	light	hʌlko	holko	HELKU
gbh	light	alkˑɡa	alkga	ALKKA
mal	light	hʌlko	holko	HELKU
mbh	light	ʌlkˑaɡa	olkaga	ELKAKA
mad	light	helɪnta	helinta	HELINTA
gtd	light	halko	halko	HALKU
gba	light	halkʌ	halko	HALKE
gkt	light	həlkoi̯	h3lkoi	HELKU
gok	light	hɛwo	hEwo	HEWU
psh	light	hʌru	horu	HERY
pmd	light	hʌlu	holu	HELY
pkh	light	hʌru	horu	HERY
gcj	light	hʌlu	holu	HELY
ggg	light	-----	-----	-----
khu	light	həlko	h3lko	HELKU
bhe	light	həlko	h3lko	HELKU
prg	light	tʃudor	tSudor	TSYTUR
gka	light	hʌlko	holko	HELKU
gse	light	hɛlko	hElko	HELKU
gra	light	tʃud̪uɾ	tSudur	TSYTYR
gki	light	haɭko	haLko	HALKU
gar	light	həlko	h3lko	HELKU
gam	light	həlko	h3lko	HELKU
gwa	light	həlko	h3lko	HELKU
gch	light	həlkai	h3lkai	HELKA
gdh	light	həlko	h3lko	HELKU
goa	light	halkɡʌ	halkgo	HALKKE
met	light	halkʌ	halko	HALKE
bhm	light	puho	puho	PYHU
bhs	light	pʌjŋɡ	poyNg	PEJNK
bhb	light	pʌjŋɡ	poyNg	PEJNK
mso	light	vʌllen	vollen	BELEN
mlj	light	kʌm	kom	KEM
mud	light	-----	-----	-----
rui	good	sud̪o,tʃaŋla	sudo, tSaNla	SYTU, TSANLA
grp	good	tʃoqoʈ	tSoqot	TSUKUT
ght	good	tʃaŋɡalo	tSaNgalo	TSANKALU
glb	good	bes	bes	PES
ktg	good	bes	bes	PES
dog	good	tʃokʌt	tSokot	TSUKET
mdh	good	besta	besta	PESTA
mku	good	tʃokorta,bes	tSokorta, bes	TSUKURTA, PES
gni	good	tʃokʌʈna	tSokotna	TSUKETNA
lxg	good	tʃokoʈi	tSokoti	TSUKUTI
get	good	bes,asel	bes, asel	PES, ASEL
gut	good	tʃokut	tSokut	TSUKYT
gja	good	bes	bes	PES
gbh	good	mantʃi	mantSi	MANTSI
mal	good	bes	bes	PES
mbh	good	mentʃda	mentSda	MENTSTA
mad	good	bese	bese	PESE
gtd	good	asal	asal	ASAL
gba	good	asel,bes	asel, bes	ASEL, PES
gkt	good	atʃai̯	atSai	ATSA
gok	good	atʃa	atSa	ATSA
psh	good	sʌdʒo	sodZo	SETSU
pmd	good	sadʒʌ	sadZo	SATSE
pkh	good	atʃit	atSit	ATSIT
gcj	good	sadʒor	sadZor	SATSUR
ggg	good	tʒor	tZor	TSUR
khu	good	atʃa	atSa	ATSA
bhe	good	atʃa	atSa	ATSA
prg	good	atʃa	atSa	ATSA
gka	good	sadʒero	sadZero	SATSERU
gse	good	saŋɡlo	saNglo	SANKLU
gra	good	tʃokoɾ,mant̪a	tSokor, manta	TSUKUR, MANTA
gki	good	sud̪o	sudo	SYTU
gar	good	tʃaŋɡlo	tSaNglo	TSANKLU
gam	good	tʃakot	tSakot	TSAKUT
gwa	good	tʃako	tSako	TSAKU
gch	good	atʃa	atSa	ATSA
gdh	good	attʃa	attSa	ATSA
goa	good	bɛ̃s	bEs	PES
met	good	besu	besu	PESY
bhm	good	nʌtoʈʌ	nototo	NETUTE
bhs	good	nʌlːoʈʌ	noloto	NELUTE
bhb	good	nʌlːa	nola	NELA
mso	good	bɛnekt̪a	bEnekta	PENEKTA
mlj	good	ʌʈʃha	otSha	ETSHA
mud	good	bʌnet̪a	boneta	PENETA
rui	thorn	tsʰa	tsh~a	TSA
grp	thorn	kata	kata	KATA
ght	thorn	kaʈa	kata	KATA
glb	thorn	kataŋ	kataN	KATAN
ktg	thorn	kaʈa	kata	KATA
dog	thorn	ʃaə̯k	Sa3k	SAK
mdh	thorn	hap	hap	HAP
mku	thorn	kata,hap	kata, hap	KATA, HAP
gni	thorn	saːpu̯	sapu	SAPY
lxg	thorn	saːpu	sapu	SAPY
get	thorn	haʔku	ha7ku	HAHKY
gut	thorn	tʃʰahk	tSh~ahk	TSAHK
gja	thorn	hap	hap	HAP
gbh	thorn	apˑu	apu	APY
mal	thorn	koi̯ye	koiie	KU
mbh	thorn	ʌpˑu	opu	EPY
mad	thorn	kui̯ye	kuiie	KY
gtd	thorn	qanʈa	qanta	KANTA
gba	thorn	hapˑu	hapu	HAPY
gkt	thorn	kaɽta	karta	KARTA
gok	thorn	hap	hap	HAP
psh	thorn	qarta	qarta	KARTA
pmd	thorn	qaʈa	qata	KATA
pkh	thorn	qorta	qorta	KURTA
gcj	thorn	kaʈa	kata	KATA
ggg	thorn	kaʈaŋ	kataN	KATAN
khu	thorn	kaʈe	kate	KATE
bhe	thorn	kaʈa	kata	KATA
prg	thorn	kaʈa	kata	KATA
gka	thorn	sap	sap	SAP
gse	thorn	sap	sap	SAP
gra	thorn	sap	sap	SAP
gki	thorn	tʃahaʔ	tSaha7	TSAHAH
gar	thorn	sap,saʰa̯k	sap, sah~ak	SAP, SAK
gam	thorn	sahak	sahak	SAHAK
gwa	thorn	kaʈa	kata	KATA
gch	thorn	kaʈa	kata	KATA
gdh	thorn	kaʈa	kata	KATA
goa	thorn	hakˑu,hapuput̪sa	haku, hapuputsa	HAKY, HAPYPYTSA
met	thorn	haːku	haku	HAKY
bhm	thorn	koje	koye	KUJE
bhs	thorn	koje	koye	KUJE
bhb	thorn	koje	koye	KUJE
mso	thorn	ahku	ahku	AHKY
mlj	thorn	hap	hap	HAP
mud	thorn	hap	hap	HAP
rui	those	hao	hao	HA
grp	those	yok	iok	YK
ght	those	haw	haw	HAW
glb	those	hadun	hadun	HATYN
ktg	those	ʌd	od	ET
dog	those	hao	hao	HA
mdh	those	ork	ork	URK
mku	those	ho	ho	HU
gni	those	aβu	abu	ABY
lxg	those	ʌwu	owu	EWY
get	those	hʌwu	howu	HEWY
gut	those	ʌvuʔ	ovu7	EBYH
gja	those	avu	avu	ABY
gbh	those	oɾu	oru	URY
mal	those	woru	woru	WURY
mbh	those	avˑu	avu	ABY
mad	those	wowu	wowu	WUWY
gtd	those	-----	-----	-----
gba	those	avu	avu	ABY
gkt	those	hade	hade	HATE
gok	those	ha	ha	HA
psh	those	au̯	au	A
pmd	those	-----	-----	-----
pkh	those	au̯	au	A
gcj	those	-----	-----	-----
ggg	those	or	or	UR
khu	those	adɨ	ad3	ATI
bhe	those	ork	ork	URK
prg	those	ad̪o,wəle	ado, w3le	ATU, WELE
gka	those	havu	havu	HABY
gse	those	haw	haw	HAW
gra	those	boɾ	bor	PUR
gki	those	βoɾ	bor	BUR
gar	those	adu	adu	ATY
gam	those	ɡʰenoŋ	gh~enoN	KENUN
gwa	those	ad̪	ad	AT
gch	those	wəlehe	w3lehe	WELEHE
gdh	those	wo,ad̪u	wo, adu	WU, ATY
goa	those	avu	avu	ABY
met	those	avu	avu	ABY
bhm	those	ʌv	ov	EB
bhs	those	-----	-----	-----
bhb	those	ʌwu	owu	EWY
mso	those	awu	awu	AWY
mlj	those	ao̯	ao	A
mud	those	awu̯	awu	AWY
rui	axe	marəs	mar3s	MARES
grp	axe	mars	mars	MARS
ght	axe	mʌrs	mors	MERS
glb	axe	mars	mars	MARS
ktg	axe	mars	mars	MARS
dog	axe	maɾs	mars	MARS
mdh	axe	mʌɾs	mors	MERS
mku	axe	mars	mars	MARS
gni	axe	mⁿarsu	mn~arsu	MARSY
lxg	axe	mʌɾəsu	mor3su	MERESY
get	axe	marsu	marsu	MARSY
gut	axe	maɾs̪	mars	MARS
gja	axe	marsu	marsu	MARSY
gbh	axe	marsu	marsu	MARSY
mal	axe	mʌxsu	moxsu	MEGSY
mbh	axe	maksu	maksu	MAKSY
mad	axe	məksu	m3ksu	MEKSY
gtd	axe	mʌrs	mors	MERS
gba	axe	mars	mars	MARS
gkt	axe	mars	mars	MARS
gok	axe	kudhar	kudhar	KYTHAR
psh	axe	mars	mars	MARS
pmd	axe	mas	mas	MAS
pkh	axe	mars	mars	MARS
gcj	axe	mars	mars	MARS
ggg	axe	mars	mars	MARS
khu	axe	mars	mars	MARS
bhe	axe	mars	mars	MARS
prg	axe	mars	mars	MARS
gka	axe	mars	mars	MARS
gse	axe	mʌɾs	mors	MERS
gra	axe	maɾsu	marsu	MARSY
gki	axe	maɾs	mars	MARS
gar	axe	mars	mars	MARS
gam	axe	mars	mars	MARS
gwa	axe	mars	mars	MARS
gch	axe	mars	mars	MARS
gdh	axe	mars	mars	MARS
goa	axe	maɾsu	marsu	MARSY
met	axe	mɔksu	moksu	MUKSY
bhm	axe	ɡoɖeːl	godel	KUTEL
bhs	axe	ɡoɖeːl	godel	KUTEL
bhb	axe	ɡoɖeːl	godel	KUTEL
mso	axe	mʌhsi	mohsi	MEHSI
mlj	axe	ʈai̯ŋɡa	taiNga	TANKA
mud	axe	ɖʌŋia	doNia	TENI
rui	face	ʈoɖi	todi	TUTI
grp	face	t̪od̪i	todi	TUTI
ght	face	tod̪i	todi	TUTI
glb	face	t̪od̪i	todi	TUTI
ktg	face	mohar	mohar	MUHAR
dog	face	ʈoɖi	todi	TUTI
mdh	face	mokam	mokam	MUKAM
mku	face	mohaw	mohaw	MUHAW
gni	face	mokʌm	mokom	MUKEM
lxg	face	mokʌm	mokom	MUKEM
get	face	mokom	mokom	MUKUM
gut	face	mukʰʌmu	mukh~omu	MYKEMY
gja	face	ʈoɖi	todi	TUTI
gbh	face	mokam	mokam	MUKAM
mal	face	mokam	mokam	MUKAM
mbh	face	mokame	mokame	MUKAME
mad	face	mokom	mokom	MUKUM
gtd	face	tʃeheratune	tSeheratune	TSEHERATYNE
gba	face	mokʌm	mokom	MUKEM
gkt	face	t̪od̪i	todi	TUTI
gok	face	mohaw	mohaw	MUHAW
psh	face	tʃurat	tSurat	TSYRAT
pmd	face	t̪od̪i	todi	TUTI
pkh	face	moha	moha	MUHA
gcj	face	-----	-----	-----
ggg	face	toɖi	todi	TUTI
khu	face	toɖi	todi	TUTI
bhe	face	toɖi	todi	TUTI
prg	face	toɖi	todi	TUTI
gka	face	tsʰeheɾa	tsh~ehera	TSEHERA
gse	face	t̪oɖi	todi	TUTI
gra	face	mokom	mokom	MUKUM
gki	face	mokom	mokom	MUKUM
gar	face	ʈoɖi	todi	TUTI
gam	face	toɖi	todi	TUTI
gwa	face	ʈoɖi	todi	TUTI
gch	face	t̪oɖi	todi	TUTI
gdh	face	ʈoɖi	todi	TUTI
goa	face	mokʌm	mokom	MUKEM
met	face	mokʌm	mokom	MUKEM
bhm	face	mukuːm	mukum	MYKYM
bhs	face	mukuɔm	mukuom	MYKYM
bhb	face	mukuːm	mukum	MYKYM
mso	face	moha	moha	MUHA
mlj	face	maha	maha	MAHA
mud	face	mokã	moka	MUKA
rui	water	yer	ier	YR
grp	water	yɛr	iEr	YR
ght	water	yɛr	iEr	YR
glb	water	yɛr	iEr	YR
ktg	water	yɛr	iEr	YR
dog	water	jɛr	yEr	JER
mdh	water	yɛr	iEr	YR
mku	water	ɛr	Er	ER
gni	water	jeːru	yeru	JERY
lxg	water	ɛːru	Eru	ERY
get	water	yɛru	iEru	YRY
gut	water	ɛːru	Eru	ERY
gja	water	ɛr	Er	ER
gbh	water	eɾu	eru	ERY
mal	water	eɣu	exu	EGY
mbh	water	eɡu	egu	EKY
mad	water	yeaɣu	ieaxu	YGY
gtd	water	iera	iera	IRA
gba	water	yeˑru	ieru	YRY
gkt	water	yɛr	iEr	YR
gok	water	yɛr	iEr	YR
psh	water	ar	ar	AR
pmd	water	er	er	ER
pkh	water	yar	iar	YR
gcj	water	yɛr	iEr	YR
ggg	water	yɛr	iEr	YR
khu	water	yɛr	iEr	YR
bhe	water	yɛr	iEr	YR
prg	water	yɛr	iEr	YR
gka	water	yei̯ɽ	ieir	YR
gse	water	jɛɾ	yEr	JER
gra	water	jɛɾ	yEr	JER
gki	water	jɛɾ	yEr	JER
gar	water	yɛr	iEr	YR
gam	water	ɛr	Er	ER
gwa	water	yɛr	iEr	YR
gch	water	yɛr	iEr	YR
gdh	water	yɛr	iEr	YR
goa	water	jɛɾu	yEru	JERY
met	water	jeahuʔ	yeahu7	JEHYH
bhm	water	eːɾ	er	ER
bhs	water	eːɾ	er	ER
bhb	water	eːɾ	er	ER
mso	water	ɛɾ	Er	ER
mlj	water	ɛːɾ	Er	ER
mud	water	ɛɾ	Er	ER
rui	monkey	ɡəɖi	g3di	KETI
grp	monkey	mundʒʌl	mundZol	MYNTSEL
ght	monkey	mundʒʌl	mundZol	MYNTSEL
glb	monkey	mundʒʌl	mundZol	MYNTSEL
ktg	monkey	mundʒʌl	mundZol	MYNTSEL
dog	monkey	ɡʌɖi	godi	KETI
mdh	monkey	kove,mundʒal	kove, mundZal	KUBE, MYNTSAL
mku	monkey	kove,mundʒal	kove, mundZal	KUBE, MYNTSAL
gni	monkey	koβe	kobe	KUBE
lxg	monkey	kɔwe	kowe	KUWE
get	monkey	mundʒu	mundZu	MYNTSY
gut	monkey	koːβɛ	kobE	KUBE
gja	monkey	mundʒ	mundZ	MYNTS
gbh	monkey	kot̪i	koti	KUTI
mal	monkey	mundʒu,kove	mundZu, kove	MYNTSY, KUBE
mbh	monkey	kou̯e	koue	KU
mad	monkey	mundʒu	mundZu	MYNTSY
gtd	monkey	mundʒe	mundZe	MYNTSE
gba	monkey	muʌʒu	muoZu	MYSY
gkt	monkey	muʌdʒu	muodZu	MYTSY
gok	monkey	mundʒal,bɛndʌra	mundZal, bEndora	MYNTSAL, PENTERA
psh	monkey	bəndrʌ	b3ndro	PENTRE
pmd	monkey	bʌnda	bonda	PENTA
pkh	monkey	bʌndra	bondra	PENTRA
gcj	monkey	baʌndari	baondari	PANTARI
ggg	monkey	bəndraley	b3ndralei	PENTRALE
khu	monkey	bəndral	b3ndral	PENTRAL
bhe	monkey	bəndra	b3ndra	PENTRA
prg	monkey	bəndral	b3ndral	PENTRAL
gka	monkey	mundʒal	mundZal	MYNTSAL
gse	monkey	mundʒal	mundZal	MYNTSAL
gra	monkey	ɡʌɖːi	godi	KETI
gki	monkey	kope	kope	KUPE
gar	monkey	mundʒal	mundZal	MYNTSAL
gam	monkey	mundʒal	mundZal	MYNTSAL
gwa	monkey	bukal	bukal	PYKAL
gch	monkey	mus	mus	MYS
gdh	monkey	mundʒ	mundZ	MYNTS
goa	monkey	koʃi,mundʒu	koSi, mundZu	KUSI, MYNTSY
met	monkey	mundʒu	mundZu	MYNTSY
bhm	monkey	koːve	kove	KUBE
bhs	monkey	koːve	kove	KUBE
bhb	monkey	kove	kove	KUBE
mso	monkey	mundʒ	mundZ	MYNTS
mlj	monkey	bẽd̪ɾi	bedri	PETRI
mud	monkey	mundʒ	mundZ	MYNTS
rui	oil	n̪i	ni	NI
grp	oil	ni	ni	NI
ght	oil	ni	ni	NI
glb	oil	ni	ni	NI
ktg	oil	ni	ni	NI
dog	oil	niː	ni	NI
mdh	oil	ni	ni	NI
mku	oil	ni	ni	NI
gni	oil	niːu	niu	NI
lxg	oil	nɪju	niyu	NIJY
get	oil	niu	niu	NI
gut	oil	niˑu	niu	NI
gja	oil	ni	ni	NI
gbh	oil	nuiˑu	nuiu	NY
mal	oil	neu	neu	NE
mbh	oil	niuˑ	niu	NI
mad	oil	niyu	niiu	NI
gtd	oil	(tʃoko)ni	tSokoni	TSUKUNI
gba	oil	niu	niu	NI
gkt	oil	ni	ni	NI
gok	oil	ni	ni	NI
psh	oil	ni	ni	NI
pmd	oil	ni	ni	NI
pkh	oil	ni	ni	NI
gcj	oil	ni	ni	NI
ggg	oil	ni	ni	NI
khu	oil	ni	ni	NI
bhe	oil	ni	ni	NI
prg	oil	ni	ni	NI
gka	oil	niːɨ	ni3	NI
gse	oil	niː	ni	NI
gra	oil	niː	ni	NI
gki	oil	ni	ni	NI
gar	oil	ni	ni	NI
gam	oil	ni	ni	NI
gwa	oil	ni	ni	NI
gch	oil	ni	ni	NI
gdh	oil	ni	ni	NI
goa	oil	nijui	niyui	NIJY
met	oil	nejuŋ	neyuN	NEJYN
bhm	oil	nij	niy	NIJ
bhs	oil	nej	ney	NEJ
bhb	oil	nej	ney	NEJ
mso	oil	nei̯	nei	NE
mlj	oil	nei̯	nei	NE
mud	oil	nei̯	nei	NE
rui	he_was_hungry	kərwəst̪a	k3rw3sta	KERWESTA
grp	he_was_hungry	workarʌwasimata	workarowasimata	WURKAREWASIMATA
ght	he_was_hungry	horkarawasi	horkarawasi	HURKARAWASI
glb	he_was_hungry	workarwasimatal	workarwasimatal	WURKARWASIMATAL
ktg	he_was_hungry	orkʌrwasta	orkorwasta	URKERWASTA
dog	he_was_hungry	kəɾwast̪a	k3rwasta	KERWASTA
mdh	he_was_hungry	womkʌrwʌsta	womkorwosta	WUMKERWESTA
mku	he_was_hungry	workaramʌta	workaramota	WURKARAMETA
gni	he_was_hungry	karwasta	karwasta	KARWASTA
lxg	he_was_hungry	(oːn)kːʌrwʌst̪ʌ	onkorwosto	UNKERWESTE
get	he_was_hungry	kʌrwʌsta	korwosta	KERWESTA
gut	he_was_hungry	karvasta	karvasta	KARBASTA
gja	he_was_hungry	(kəl)wasməta	k3lwasm3ta	KELWASMETA
gbh	he_was_hungry	pod̪uɾu	poduru	PUTYRY
mal	he_was_hungry	wʌnɡta(mʌntor)	wongtamontor	WENKTAMENTUR
mbh	he_was_hungry	kau̯soɾ	kausor	KASUR
mad	he_was_hungry	kauwɛsɛrmɛntɛ	kauwEsErmEntE	KAWESERMENTE
gtd	he_was_hungry	(ole)karumat̪ol	olekarumatol	ULEKARYMATUL
gba	he_was_hungry	kʌrʌwʌnɛmʋtur	korowonEmwtur	KEREWENEMWTYR
gkt	he_was_hungry	karvmatoɭ	karvmatoL	KARBMATUL
gok	he_was_hungry	karʌswʌsimʌtʌ	karoswosimoto	KARESWESIMETE
psh	he_was_hungry	(wor)karʌmatʌr	workaromator	WURKAREMATER
pmd	he_was_hungry	(hor)karustoɭ	horkarustoL	HURKARYSTUL
pkh	he_was_hungry	(hor)karumatur	horkarumatur	HURKARYMATYR
gcj	he_was_hungry	(hor)karumatoɭ	horkarumatoL	HURKARYMATUL
ggg	he_was_hungry	karawastul	karawastul	KARAWASTYL
khu	he_was_hungry	tankarawasta	tankarawasta	TANKARAWASTA
bhe	he_was_hungry	orkarawasta	orkarawasta	URKARAWASTA
prg	he_was_hungry	tankarwasta	tankarwasta	TANKARWASTA
gka	he_was_hungry	karwasta	karwasta	KARWASTA
gse	he_was_hungry	kaɾuwasta	karuwasta	KARYWASTA
gra	he_was_hungry	paɾupasmantor	parupasmantor	PARYPASMANTUR
gki	he_was_hungry	karwasta	karwasta	KARWASTA
gar	he_was_hungry	kəruwəsta,upasimətor	k3ruw3sta, upasim3tor	KERYWESTA, YPASIMETUR
gam	he_was_hungry	kəruwəsimata	k3ruw3simata	KERYWESIMATA
gwa	he_was_hungry	karumatol	karumatol	KARYMATUL
gch	he_was_hungry	-----	-----	-----
gdh	he_was_hungry	(kʰop)koruhai	kh~opkoruhai	KUPKURYHA
goa	he_was_hungry	karʃest̪a	karSesta	KARSESTA
met	he_was_hungry	kauwʌsta	kauwosta	KAWESTA
bhm	he_was_hungry	kʌrvpojt̪ʌ	korvpoyto	KERBPUJTE
bhs	he_was_hungry	kʌrpojt̪oːnku	korpoytonku	KERPUJTUNKY
bhb	he_was_hungry	kʌɾpojt̪a	korpoyta	KERPUJTA
mso	he_was_hungry	kʌhowʌst̪u	kohowostu	KEHUWESTY
mlj	he_was_hungry	kʌɾowʌst̪	korowost	KERUWEST
mud	he_was_hungry	kʌɾvʌst̪u	korvostu	KERBESTY
rui	cauliflower	(ɸul)kobi	pulkobi	BYLKUPI
grp	cauliflower	(ɸʌl)ɡobi	polgobi	BELKUPI
ght	cauliflower	(ɸul)ɡohbi	pulgohbi	BYLKUHPI
glb	cauliflower	(pul)ɡobi	pulgobi	PYLKUPI
ktg	cauliflower	(puŋɡar)ɡobi	puNgargobi	PYNKARKUPI
dog	cauliflower	ɡoβi	gobi	KUBI
mdh	cauliflower	ɡobi	gobi	KUPI
mku	cauliflower	(punɡar)ɡobi	pungargobi	PYNKARKUPI
gni	cauliflower	ɡobi	gobi	KUPI
lxg	cauliflower	ɡobi(puŋar)	gobipuNar	KUPIPYNAR
get	cauliflower	(punɡur)ɡobi	pungurgobi	PYNKYRKUPI
gut	cauliflower	(pul)ɡɦobi	pulghobi	PYLKHUPI
gja	cauliflower	(pʰul)ɡobi	ph~ulgobi	PYLKUPI
gbh	cauliflower	(put̪ˑa)ɡʰobi	putagh~obi	PYTAKUPI
mal	cauliflower	(pʌl)ɡhobi	polghobi	PELKHUPI
mbh	cauliflower	ɡobi(ɡada)	gobigada	KUPIKATA
mad	cauliflower	ɡobi	gobi	KUPI
gtd	cauliflower	ɡhobi	ghobi	KHUPI
gba	cauliflower	(punɡar)ɡobi	pungargobi	PYNKARKUPI
gkt	cauliflower	(pulwa)ɡolbi	pulwagolbi	PYLWAKULPI
gok	cauliflower	(phula)ɡobi	phulagobi	PHYLAKUPI
psh	cauliflower	(pul)ɡobi	pulgobi	PYLKUPI
pmd	cauliflower	(pul)ɡobi	pulgobi	PYLKUPI
pkh	cauliflower	(pul)ɡobi	pulgobi	PYLKUPI
gcj	cauliflower	ɡobi	gobi	KUPI
ggg	cauliflower	ɡoβi	gobi	KUBI
khu	cauliflower	(pʰul)ɡoβi	ph~ulgobi	PYLKUBI
bhe	cauliflower	ɡoβi	gobi	KUBI
prg	cauliflower	ɡobi	gobi	KUPI
gka	cauliflower	(pʰuŋɡaɖa)ɡobi	ph~uNgadagobi	PYNKATAKUPI
gse	cauliflower	(pul)ɡobi	pulgobi	PYLKUPI
gra	cauliflower	(pul)kobi	pulkobi	PYLKUPI
gki	cauliflower	(ɸhul)ɡobi	phulgobi	BHYLKUPI
gar	cauliflower	(phul)ɡoβi	phulgobi	PHYLKUBI
gam	cauliflower	(phul)ɡoβi	phulgobi	PHYLKUBI
gwa	cauliflower	(pʰul)ɡoβi	ph~ulgobi	PYLKUBI
gch	cauliflower	(pʰul)ɡobi	ph~ulgobi	PYLKUPI
gdh	cauliflower	(phul)ɡoβi	phulgobi	PHYLKUBI
goa	cauliflower	(ɸhul)ɡobi	phulgobi	BHYLKUPI
met	cauliflower	(pʌŋɡa)ɡobi	poNgagobi	PENKAKUPI
bhm	cauliflower	-----	-----	-----
bhs	cauliflower	ɡobi	gobi	KUPI
bhb	cauliflower	(puɳɡaɾ)ɡobi	pungargobi	PYNKARKUPI
mso	cauliflower	ɡobi	gobi	KUPI
mlj	cauliflower	(phul)ɡubi	phulgubi	PHYLKYPI
mud	cauliflower	ɡobi	gobi	KUPI
rui	drink	uton	uton	YTUN
grp	drink	worundʒiyetor	worundZiietor	WURYNTSITUR
ght	drink	worutur	worutur	WURYTYR
glb	drink	worwutur	worwutur	WURWYTYR
ktg	drink	utor	utor	YTUR
dog	drink	utoɾ,un	utor, un	YTUR, YN
mdh	drink	utur,un	utur, un	YTYR, YN
mku	drink	worutor,un	worutor, un	WURYTUR, YN
gni	drink	(jer)uʈor,un	yerutor, un	JERYTUR, YN
lxg	drink	(or)uʈːor,unːu	orutor, unu	URYTUR, YNY
get	drink	utor,un	utor, un	YTUR, YN
gut	drink	unβʌt	unbot	YNBET
gja	drink	undʒeɡemətor,un	undZegem3tor, un	YNTSEKEMETUR, YN
gbh	drink	unˑudu	unudu	YNYTY
mal	drink	utor,un	utor, un	YTUR, YN
mbh	drink	uˑmadi	umadi	YMATI
mad	drink	ut̪ur,ur̪u	utur, uru	YTYR, YRY
gtd	drink	(ol)undʒitol	olundZitol	ULYNTSITUL
gba	drink	utor,un	utor, un	YTUR, YN
gkt	drink	undʒetol	undZetol	YNTSETUL
gok	drink	urʌtur	urotur	YRETYR
psh	drink	undʒimator	undZimator	YNTSIMATUR
